  enClue;daClue;enNote;daNote;enCase;daCase
Father Daemonum... He is a man of faith. But I always wondered who owned his conviction...;Fader Daemonum... Han er en mand af stærk tro. Men jeg har tvivlet på hvem ejer hans overbevisning...;;;;
"My husband would say, ""Put on your pearls for dinner, my darling, you look simply devine...""";"Min mand ville sige, ""Tag perlene på til middagen, min elskede, du ser guddommelig ud...""";;;;
My beloved daughter always refused to spent any second in The Father's presence, never without her stuffed bear.;Min elskede datter nægtede altid at tilbringe et sekund i Faderens nærvær, aldrig uden hendes bamse bjørn.;;;;
;;"""He called me his queen. Our daughter was his little knight; saving the world one day when he could no more...""";"""Han kaldte mig hans dronning. Vores datter var hans lille rider; klar til at rede verden den dag han ikke længere kunne...""";;
;;"""Oh how far gone we've come from times past... How long he's suffered alone..."" ";"""Åh så langt vi er fra de bedste tider... Så længe han har lidt alene...""";;
"He was a picture perfect man; had hoped to save the world from itself one day...
";"Han var det perfekte billede på en perfekt mand; havde håb om at redde verden fra sig selv en dag...";"""Now, he is the one in need of saving...""                 He'll have no saving from me if Madeleine is here. Is she here, Marianna?";"""Nu, er det ham der skal reddes fra sig selv...""                                                                    Han vil aldrig reddes af mig hvis jeg finder Madeleine her. Er hun her, Marianna?
";;
In years past, he hunted for animals all over the world... ;For længe siden, jagtede han vilde dyr over hele verden...;"""But now.. he hunts far more dangerous ideals.. prey on far more innocent victims...""                      What ideals? Did he take those children, Marianna?";"""Men nu... Jagter han langt farligere idealer... Langt mere uskyldige ofre...""                                                                                              Hvilke Idealer? Har han taget de børn, Marianna? ";;
The devil never sleeps... But his bed is never empty....;Djævlen sover aldrig... Men hans seng står aldrig tom...;;;;
;;"This journal.. it's his. I cannot believe it- your daughter, she didn't just vanish.. she drowned?                                                                                                                             ""I ache everyday... Telling no one, it was all our fault...""                                                                                    Your heart break... your guilt.. it made you take your life?                                                                                       ""He made me a promise when he found me dead, ''I will bring her back, darling, so you will want to live again...'' ""                                                                                                                                      And this priest, this… Father Daemonum, he knew of a way...                                                                                    ""He is the devils duplicate! He took advantage of my husband's grief to satisfy his own conviction! Making a demon of my darling husband!”    
";"En dagbog... Det er hans. Jeg kan ikke tro det- jeres datter, hun forsvandt ikke bare.. Hun druknede?                                                                                                                       ""Mit hjerte bristede fra den dag... der var ingen der vidste, det var vores skyld.... ""                                                                                               Din smerte... Din skyld... Det lod dig tage dit eget liv?                                                                       ""Han gav mig et løfte da han fandt mig død, ''Jeg vil få hende tilbage, min elskede, så du vil lyst livet igen...'' ""                                                                                                                  Og den her præst, Fader Daemonum, han vidste hvordan...                                                     ""Han er djævlens dobbeltgænger! Han udnyttede min mands sorg for at tilfredsstille hans egne overbevisninger! har lavet en dæmon af min elskede mand!""    ";;
;;"Madeleine is here. There’s no doubt this clothes is hers. God… am I too late? The other clothes… do those belong to the other missing girls?                                                                              ""She is not the first.. And she will not be the last...save the child.""";"Madeleine er her. Der er ingen tvivl, det tøj er hendes. Åh Gud... kommer jeg for sent? Det andede tøj... Tilhøre det de andre forsvundne piger?                                                                                  ""Hun er ikke den første... Og hun vil ikke være den sidste... Frels hende.""
";;
;;"A doll? Is this part of the ritual?                                                                                         ""It was... but dolls lack a heartbeat and demons lack morality. He saw no choice but to turn to our own kind... I beg you, detective, save him from himself!"" ";"En dukke? Er det her en del af ritualet?                                                                               ""Det var... Men dukker mangler hjerteslag og dæmoner mangler morale. Han så ingen vej, end at tye til vores egen art... Jeg ber dig, red ham fra sig selv!""";;
"Please, please save his soul!                                                                                           Go to the demon who dance alone, 
waiting for his child and a porcelain doll                                                                                Then go to the place far down below 
Deep down, into The Undergrowth
";Jeg ber dig, red hans sjæl!                                                               Gå til dæmonen der står og danser alene,                                             han venter på sit barn i armene sine.                                                Gå da ned i mørket, før hun skriger af pine,                               I Undergraven, hvor de snart vil forene.;"Marianna... Is Madeleine there? Is she in The Undergowth?                                                                                ""Hurry...""";"Marianna... Er Madeleine der? Er hun i Undergraven?                                                          ""Skynd dig...""";;
;;"A Letter from Father Daemonum, September 16, 1929:                                                                     “Dear Douglas
I know you are in mourning still. I’ve noticed you stopped coming to see me at church, your charity funds are gone, even your Orchard fields are wilting. And I worry for you. Please come see me one day soon. At the very least, please respond to my letters.
Be well, my friend. 
Father Daemonum”
";"Et brev fra Fader Daemonum, 16. September, 1929:                                                                     “Kære Douglas
Jeg ved du stadig sørger. Jeg har bemærket din udebliven fra kirken, dine velgørenhedsfonde er væk, selv din frugt marker er visnede. Og jeg er bekymret for dig. Jeg ber dig komme og se mig snarligt. I det mindste be'r jeg dig besvare mine breve. 
Håber du er vel, min ven.
Fader Daemonum”
";;
;;"A Letter from Father Daemonum, August 19, 1934:                                                                                   “Dear Douglas 
                                                                                                       I know you want your family back. I have a way you might see them again, alive and breathing. Involving Dolls and candlelights. Join me for service this Sunday, and I’ll tell you all about it.
                                                                                                         Father Daemonum”
";"Et brev fra Fader Daemonum, 19. August, 1934:                                                                                   
“Kære Douglas
                                                                                          Jeg du vil have din familie tilbage. Og jeg kender en måde du måske kan se dem igen, i live. Det involvere dukker og lysestager. Kom til gudstjeneste denne søndag, og jeg vil fortælle dig alt om det.
                                                                                          Fader Daemonum” 

";;
;;"A Letter from Father Daemonum, December 24, 1942:                                                                                         “Dear Douglas
                                                                                                     If god won’t listen, someone else will hear you. And there is another way… It falls under ill graces, you’ll be condemned without a means of redemption. If you are willing to risk your soul to have them back, both of them; your conviction, my dear friend, will need an adequate adjustment.                                                                              
                                                                                                    I await your correspondence, and ask that we meet in person to discuss the finer details.
                                                                                                     Father Daemonum”
";"Et brev fra Fader Daemonum, 24. december, 1942:                                                                                  ""Kære Douglas                                                                                                                                                                                                                                                                                
                                                                                           Hvis Gud ikke vil lytte, er der en anden der vil høre dig. Og der er en anden vej... den falder til den Gudsforladte nåde; Du vil være fordømt uden nogen chance for frelse. Hvis du er villig til at risikere din sjæl for at få dem tilbage, dem begge; Din tro, min kære ven, vil få brug for en passende justering.                                                                                                                                
                                                                                              Jeg venter din besvarelse, og råder at vi mødes personligt og diskutere de finere detaljer.                                                                      
                                                                                               Fader Daemonum""      

                                        ";;
;;"A Letter from Father Daemonum, January 12, 1957:                                                                            “Dear Douglas
                                                                                                 I’m so glad you’ve come around. I will pay you a visit tomorrow afternoon. I know of place inside your own home, perfect for our next step.
                                                                                               Father Daemonum”
";"Et brev fra Fader Daemonum, 12. Januar, 1957:
“Kære Douglas
                                                                                           Jeg er så glad for at du har ændret mening. Jeg vil komme forbi i morgen eftermiddag. Jeg kender et sted i dit eget hjem, helt perfekt til vores næste skridt. 
                                                                                                               Fader Daemonum”
";;
;;"A letter from Father Daemonum, May 04, 1957:                                                                                “Dear Douglas
                                                                                                        We knew the risk was great. The authorities were always bound to catch on. And so, I ask you to keep your discretion. They do not yet know where or why, but when you one day slip up they will come for you. I urge you lock everything away. And when they come knocking, you pray it’s not on the day of The Resurrection.
                                                                                                          Father Daemonum”
";"Et brev fra Fader Daemonum, 04. maj, 1957:
“Kære Douglas
                                                                                               Vi vidste det ville blive risikabelt. Det var kun et spørgsmål om tid før myndighederne blev mistænkelige. Og derfor be’r jeg dig være diskret. De ved endnu ikke hvor eller hvorfor, men dagen du snubler vil de komme efter dig. Og når de endelig banker på din dør, be til det ikke er på dagen af Genopstandelsen.
                                                                                           Fader Daemonum”
";;
;;"A letter from  Father Daemonum, June 10, 1957:                                                                                          ""Dear Douglas
                                                                                                  I am pleased to hear the child is still alive, it means it’s working. But you will need to be alone. Send your staff and anyone else away, lock them up if necessary, just keep everyone else away from The Undergrowth, for the remainder of the sixth day. Or the connection will be broken.
                                                                                             Father Daemonum”
";"Et brev fra Fader Daemonum, 10. juni, 1957:                                                                                          ""Kære Douglas
                                                                                                    Jeg er glad for at høre barnet stadig lever, det betyder det virker. Men du bliver nødt til at være helt alene. Send dit personale væk, lås dem inde om nødvendigt, bare hold alle andre væk fra Undergraven, for resten af den sjette dag. Eller forbindelsen vil blive ødelagt. 
                                                                                       Fader Daemonum”
";;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
